17,5000
672,125,1545,188,185,79,858,743,118,224,15,16,141,60,147,290,51,657,998,223,1547,721,219,323,1245,2582,387,415,92,246,343,346,463,390,247,669,1372,286,1763,940,342,1018,1302,2780,943,510,189,405,637,979,551,404,361,1116,2238,993,1776,1086,354,1303,1855,3604,946,673,312,625,961,1104,1059,532,683,1307,2489,1003,2664,1213,900,1356,2376,3717,1202,798,381,808,962,1575,1070,766,994,2182,2572,1178,3098,1584,1665,1671,2580,3907,1636,1049,693,1184,1460,1800,2009,955,1469,2901,2724,1267,3617,2023,1894,2267,2751,4286,2055,1342,1080,1359,2547,2026,2104,1051,1484,3467,2766,1275,3754,2287,2380,2480,2817,4370,2424,1616,1092,1931,2562,2665,2259,1146,1889,3478,3405,1518,3929,2319,2544,3068,3152,4779,2537,2217,1513,1957,2730,2735,2334,1179,1929,3601,3724,1535,3937,2417,2640,3313,3159,4929,3086,2333,1694,2827,2762,2916,2593,1538,2069,4384,4038,1988,4674,3185,2709,3507,3385,-1,3251,2523,2394,3220,2767,3235,2634,1828,2330,4607,4431,2017,4793,3263,2714,3988,3503,-1,3442,2607,2597,3329,3081,3558,3080,2242,2743,4722,4544,2140,4822,3745,3542,4065,3679,-1,3543,2684,3102,3618,3299,3578,3355,2561,2757,4762,4853,2395,4891,4130,3927,4080,4207,-1,3560,2811,3306,3869,3890,3833,3639,2598,2836,4810,-1,2432,4961,4186,4001,4341,4481,-1,3603,2825,3516,4471,3911,4018,3707,2922,2868,-1,-1,2796,-1,4300,4356,4401,4556,-1,3817,2963,3557,4539,3950,4096,3753,3311,3100,-1,-1,4068,-1,4648,4390,4498,-1,-1,4149,3445,4006,4916,4083,4202,3816,3567,3246,-1,-1,4345,-1,4786,4574,4667,-1,-1,4404,3590,4079,4967,4249,4457,3848,4200,3851,-1
549,108,160,424,211,167,77,670,113,458,176,81,195,47,150,393,1766,162,819,225,228,869,466,270,91,1486,686,522,307,297,274,88,978,646,2206,967,1491,692,243,1375,1262,471,552,1601,876,649,974,521,1926,633,1023,1361,2486,1287,1542,1588,666,1728,1355,1261,603,2029,927,1130,1017,863,2146,887,1227,1637,3580,1519,1900,2162,1089,2295,1446,1487,699,2111,1919,1251,1435,1264,2194,911,1364,1792,3621,1529,2212,2302,1503,2798,1492,1767,739,2112,2226,1659,1502,1365,2294,1203,1740,1908,3658,1562,2972,2410,1998,3328,1560,1858,1045,2276,2450,1664,1778,2154,2369,1305,2163,2300,4580,1940,3244,2491,2099,3452,1638,2317,1113,2453,2535,2209,2225,2418,2467,1953,3001,2439,4817,2232,3406,2672,2106,4682,2858,2591,1826,2775,2885,2399,2336,2568,3029,2364,3623,3502,4880,2746,3582,2749,2741,4729,2938,2727,1865,2897,3101,2707,2721,2616,3048,2404,4061,3704,4951,3128,3740,2866,3199,4835,3302,2914,1992,3785,3593,2722,2731,2628,3056,2416,4604,3713,-1,3186,3906,2873,3943,4892,3888,3249,2076,3793,3899,2761,2846,2967,3353,2764,4721,3718,-1,3794,4041,3223,4475,4920,4098,3402,3164,3897,4002,2961,3341,3113,3645,2886,4808,3896,-1,3824,4082,3382,4957,4996,4337,3469,3195,3935,4527,3407,3591,3892,3846,2947,-1,3977,-1,4389,4260,3518,4975,-1,4517,3700,3201,4225,4611,3653,3951,4129,3901,3082,-1,4017,-1,4852,4541,3625,-1,-1,4560,4266,3773,4540,-1,4418,4331,4187,4037,3541,-1,4506,-1,-1,4697,3808,-1,-1,4673,4895,3878,4725,-1,4446,4745,4377,4198,3903,-1,4615,-1,-1,4733,3813,-1,-1,4747,4930,4022,4726,-1,4454,4934,4865,4206,4086,-1,4744,-1,-1
311,50,80,439,322,280,212,97,241,533,194,535,129,319,130,600,317,497,595,262,230,599,398,767,430,937,419,999,1004,544,386,726,139,873,840,1106,645,287,656,647,727,973,775,1063,828,1204,1417,675,441,1000,245,1759,1007,1326,1496,536,778,715,1338,2459,797,1556,1035,1629,1571,769,889,1112,367,2096,1185,2042,1693,712,809,880,1667,2472,862,1591,1141,1982,1851,970,1022,2097,554,2179,1717,2519,2729,935,1036,881,2168,2823,980,2557,3325,2036,1962,1064,1805,2134,969,2375,2282,3041,2851,1136,1044,1662,2264,2917,1244,2679,3369,2073,2391,1082,1831,2448,1093,2377,2389,3450,2867,1232,1234,2033,2509,3132,1284,3259,3914,2249,2479,1317,1938,2829,1118,2497,2430,3654,3019,1289,1906,2054,2566,3395,1606,3403,4336,2303,2670,1735,2594,3227,1243,3095,2488,3689,3458,1390,2014,2253,2738,3551,1652,4009,4382,2388,2773,2004,2840,3652,1399,3487,2549,3698,3514,1699,2046,2930,2799,3619,1789,4040,4394,2405,2822,2006,3666,3936,1412,3692,2559,4292,3905,1864,3087,3032,3170,3891,1928,4190,4474,4067,3151,2349,3803,4480,1587,3768,2662,4426,3974,2390,3304,3281,3216,3931,2372,4719,4542,4235,3378,3143,3961,4581,1868,3796,2934,4491,4499,2493,3362,3286,3719,4141,2465,4931,4584,4287,3729,3524,4106,4732,2786,3872,3043,-1,4565,2928,4151,3554,3836,-1,2495,-1,4767,4360,4468,3732,4427,-1,2956,4244,3540,-1,4768,3178,4359,4330,4138,-1,2853,-1,4869,4508,-1,3885,4452,-1,3595,4291,4789,-1,4840,3880,4820,4758,4255,-1,3498,-1,4919,4709,-1,4030,4554,-1,3919,4350,4854,-1,4879,4425,4842,4780,4376,-1,3661,-1,4985,4736,-1,4039,4626,-1,4411,4504,4945,-1
59,593,271,127,4,76,677,347,446,254,98,422,67,1497,781,399,112,428,193,925,571,136,543,218,1223,434,762,402,901,822,316,1663,1105,567,546,623,259,1183,591,746,1859,348,1937,1405,923,1121,987,1142,362,1941,1479,779,579,1207,304,1272,1087,882,2415,477,2005,1539,1114,1217,1215,1835,709,2138,1485,991,674,1655,1073,1331,1316,916,2441,531,2101,1675,1407,1488,1963,1838,1014,2216,1599,1576,1847,1917,1256,1367,1630,1032,3301,539,2828,2010,1409,2121,2130,1875,1097,2396,1983,1607,2273,1936,1280,1537,1640,1392,3363,1158,2893,2708,1798,2220,2256,2250,1703,2531,2141,1762,2473,1945,1656,1666,1687,2201,3439,1233,3037,3027,2383,2320,2969,3215,2011,2739,2979,1974,2487,2075,1709,1899,1949,2806,3493,1393,3262,3075,2408,2905,3105,3415,2200,2755,3013,2245,2499,2502,1922,1933,2338,2968,3522,1959,3770,3426,3016,3564,3172,3737,2680,2783,3071,2426,2644,2920,2085,2136,2546,3412,3968,2589,4444,3882,4195,3881,3208,3971,2703,2879,3489,2507,2892,3189,2899,2185,2812,3963,4111,2618,-1,4132,4400,4020,3408,4192,2710,2911,3630,2545,3020,3250,3039,2458,3358,4433,4335,2754,-1,4690,4550,4233,3841,4312,2785,3433,3702,3889,3180,3332,3726,2982,3714,4567,4495,2832,-1,4866,4827,4327,4419,4585,2833,3744,3774,4069,3523,4218,3775,3996,3811,4679,4562,3072,-1,4999,-1,4351,4788,-1,3224,3921,3928,4519,3605,4285,3987,4103,4126,4757,4670,3485,-1,-1,-1,4430,-1,-1,3271,3957,4161,4738,3682,4320,4031,4239,4435,4910,4756,3764,-1,-1,-1,4723,-1,-1,3633,4095,4231,4802,3799,4612,4222,4304,4569,4993,4790,4078,-1,-1,-1,4900,-1,-1,4755,4101,4328,4843,3862,4708
583,75,557,569,701,105,227,157,58,650,395,120,0,6,380,30,13,336,788,421,849,813,1298,755,276,257,1248,821,604,165,409,199,555,628,70,584,1235,486,910,823,1444,1186,383,563,1683,890,931,359,448,490,868,662,101,589,2078,654,1056,1151,1752,1301,855,642,3460,1077,1366,425,617,517,1061,2061,365,816,2819,1210,1626,1190,2569,1745,877,691,4145,1540,1990,460,621,574,1586,2339,737,837,3368,1296,1750,1737,3423,1961,1052,694,4289,1676,2602,1137,886,708,1677,2429,861,892,3389,2337,2032,1979,3577,2007,1309,913,4301,1682,2896,1327,1877,791,1947,2526,1242,2000,3400,2438,2556,2072,4125,2485,1351,1103,4643,1730,3297,1451,2554,1170,2080,2612,1291,2428,3900,3219,3258,2855,4329,3397,2095,1189,-1,2028,3953,1517,2807,1348,2335,2627,1314,2527,4176,4302,3769,3571,4531,3521,2462,1980,-1,2461,3991,2500,2852,1381,2352,2765,2652,3067,4280,4561,3781,3705,4795,3562,2533,2350,-1,3036,4090,2631,2996,1433,2869,3051,2736,3265,4878,4989,4230,3759,-1,3861,2623,2957,-1,3125,4259,3183,3217,1453,2978,3447,2959,3371,-1,-1,4343,4397,-1,3867,2704,2992,-1,3533,4702,3473,3477,2086,3360,3457,3417,3761,-1,-1,4631,4596,-1,3915,2753,3085,-1,3602,4801,4164,3650,2115,3738,3548,3490,4047,-1,-1,4751,4707,-1,4332,2860,3088,-1,3795,4874,4575,3722,2127,3751,4147,4052,4262,-1,-1,4792,4772,-1,4405,3440,3129,-1,4033,4913,4633,3755,2234,3981,4282,4214,4379,-1,-1,4904,4800,-1,4439,3491,3550,-1,4117,4943,-1,4284,2312,4071,4657,4309,4559,-1,-1,-1,-1,-1,4448,3812,3570,-1,4305,-1,-1,4558,2452,4127,4711,4333,4704
451,310,21,205,356,573,119,19,1241,131,601,258,156,43,464,867,964,1397,714,525,28,679,515,668,145,78,1456,752,1050,366,277,592,518,1218,1195,1468,786,688,875,1150,655,735,1199,128,1467,929,1053,641,357,614,566,1224,1324,1739,1108,764,1172,1171,874,1163,1385,340,1566,1181,1054,833,429,703,2056,1695,1371,1769,1206,990,1222,1321,1046,1268,1388,624,1707,1333,2305,1127,534,1612,2191,1913,1620,2344,1526,1009,1260,1610,2359,1912,1493,667,2361,1380,2528,1389,1340,1672,2518,3076,2048,2813,1747,1592,1288,2814,2553,2248,1589,704,2690,2230,2571,1639,1791,1830,2772,3153,2346,2898,1788,1704,1306,3009,2697,2422,1654,997,3127,2792,3046,2279,2175,2445,2850,4004,2619,3267,2025,1989,1972,3437,3106,3054,1686,1292,3305,3684,3831,2397,2313,2494,4241,4036,2820,3357,2236,2020,2240,3712,3484,3139,2058,1354,4174,3955,4048,2989,2657,2606,4318,4188,3504,3913,2367,2205,2908,4042,3646,3162,2173,1410,4221,4023,4058,3280,2769,2953,4473,4246,3959,4183,3194,2768,3204,4417,3662,3381,2406,1452,4932,4268,4804,3470,2801,3429,4761,4621,4026,4408,3581,2880,3207,4662,4265,3453,2420,1716,-1,4272,4812,3511,2816,3632,4803,4651,4135,4487,3587,2900,3413,4847,4353,4632,2511,1753,-1,4288,4998,3552,2881,3949,4826,4663,4226,4628,3883,3316,3510,4912,4358,4888,2541,2070,-1,4497,-1,3588,2909,4150,-1,4665,4443,4696,3964,3677,3782,-1,4413,-1,2902,2382,-1,4863,-1,3589,3079,4211,-1,-1,4671,4750,4155,3721,4334,-1,4437,-1,3023,2503,-1,4873,-1,4254,3466,4523,-1,-1,4860,4815,4818,4458,4528,-1,4493,-1,3064,2633,-1,4988,-1,4306,3634,4524,-1,-1,-1,4824
445,278,550,1362,217,303,198,9,443,48,17,607,491,82,23,138,137,232,750,332,556,1478,807,309,489,151,488,86,45,732,526,83,718,190,235,263,1021,498,615,2274,936,749,700,164,671,111,284,774,893,253,1100,249,275,384,1169,630,827,2698,986,1091,740,313,944,447,733,836,1594,305,1196,611,433,1564,1368,790,1094,2705,1043,1322,976,351,1164,500,896,914,1746,444,1574,1257,1885,1715,1528,829,1813,2910,2089,1604,1074,437,1167,538,1273,1220,2239,542,1634,1323,1993,2066,2038,1418,1852,2939,2374,1816,1177,796,1403,553,1657,1881,2716,794,1706,1541,2241,3131,2360,2484,2311,2946,2614,2895,1310,909,1455,577,1727,2008,2804,982,1967,2401,2289,3366,3011,2492,2368,2954,3119,3049,1527,1209,1482,609,2092,2309,2854,1128,2143,2630,2613,3832,3158,3294,2694,3855,3142,3222,1590,1325,1603,710,2358,2991,3613,1131,2227,2647,2857,4046,3424,3346,2725,4388,3193,3800,1870,1801,1943,924,2586,3025,4054,1358,2306,2793,3007,4077,3691,3431,2771,4512,3279,4055,2177,1975,1994,1157,2666,3026,4482,1689,2483,3471,3673,4107,4044,3608,2942,4547,3563,4197,3197,2529,2117,1221,2933,3203,4592,1840,2699,3688,3838,4366,4313,3641,3494,4591,3644,4372,3380,2696,3225,1295,3133,3404,4717,1984,2870,4070,4371,4368,4485,3818,3866,4724,3716,4533,3860,3338,3649,1328,3331,3660,4978,2726,2987,4342,4373,4586,4639,4169,4092,4858,3765,4974,3904,3736,4677,1552,3671,3960,-1,3065,3635,4605,4551,4630,4649,4322,4273,4902,3941,-1,4549,4156,-1,1614,3675,4303,-1,3895,3687,4760,4600,4940,4859,4385,4387,4966,4170,-1,4805,4537,-1,1786,3710,4449,-1,4142,3788,4774,4759,-1
18,676,10,509,799,394,134,14,206,918,173,148,69,888,207,149,302,293,52,1544,42,638,850,906,142,46,618,1107,353,690,117,894,505,632,921,440,412,2285,103,698,1346,1299,842,87,639,1290,401,723,594,942,1081,652,1932,745,939,2481,296,806,1436,1748,963,229,1239,1357,506,734,825,1085,1278,759,2012,859,1477,2960,410,1459,1462,2045,1071,760,1721,1878,926,1192,826,1229,1555,968,2347,989,1952,2988,418,2119,1534,2219,1646,1198,1886,2681,1173,1238,1651,1658,1593,1472,2552,1454,2051,3374,575,2208,1891,2326,2412,1768,1890,2759,1915,1999,1690,1954,2030,1796,2656,1866,2160,3657,636,2482,2077,2570,2700,1771,2067,2795,2189,2308,1880,1960,2137,1807,2990,1981,2329,3965,856,2609,2221,3120,2737,1987,2328,2927,2257,2940,2443,1964,2331,1902,3497,3196,2564,4167,1123,3083,2277,3213,2841,2451,2760,3044,2965,3438,2824,3365,2720,3030,3850,3269,2837,4256,1138,3956,3031,3260,3231,3060,3055,3607,3449,3599,2839,3805,3042,3154,4609,3295,3104,4741,1250,4447,3038,3394,3391,3479,3274,3629,3842,3826,2907,3982,3506,3636,4685,3428,3239,4964,1948,4532,3059,3411,3488,3616,3932,3697,4829,4003,3021,4063,3763,4059,4941,3546,3390,-1,2079,4590,3091,3825,3517,4081,4496,4392,4923,4204,3114,4191,4362,4102,-1,4053,3597,-1,3187,4907,3226,4310,3565,4212,4503,4823,-1,4770,3264,4248,4488,4209,-1,4718,3627,-1,3733,-1,3324,4395,3766,4479,4715,4841,-1,-1,3309,4299,4572,4568,-1,4784,3637,-1,4236,-1,3334,4627,4752,4526,4896,4893,-1,-1,3701,4441,4833,4613,-1,4877,3776,-1,4469,-1,4166,4658,4922,-1,4991,-1,-1,-1,3758,4492,4837,4830,-1,4939
295,7,56,465,159,397,107,483,941,71,29,31,22,514,66,659,116,453,983,132,496,948,388,728,678,810,1441,396,476,717,864,1548,283,1096,251,824,1643,481,508,952,513,765,1817,1047,1443,619,1012,1072,1134,1860,318,1661,352,1270,1986,1649,610,1470,523,1471,3659,1110,1843,756,1845,1126,1249,2087,472,1698,804,1572,2538,1714,1285,1623,1426,2210,3779,1156,2144,1132,1893,2098,1795,3045,1055,2139,1265,1966,2611,1818,1313,1702,1602,2673,3884,2147,2701,1680,2455,2353,1797,3948,1160,2740,1775,2661,2842,2371,2037,1968,1713,3047,3970,2244,3111,2114,2756,2513,2423,4778,2052,3004,1815,3058,3140,2702,2167,2049,1879,3837,4276,2645,3317,2384,3192,3206,2985,4946,2231,3050,2403,3290,3234,2924,2678,2573,1901,4057,4398,2845,3359,2398,3925,3556,2995,-1,2321,3454,2830,3421,3584,4076,3615,3190,2041,4162,-1,3115,3762,2464,4240,3864,3432,-1,3177,3572,3273,3515,3638,4157,3651,3436,2128,4203,-1,3245,3783,2862,4283,3916,4324,-1,3205,4185,4043,3576,3839,4252,4981,4461,2153,4219,-1,3248,4108,3061,-1,4421,4625,-1,3370,4210,4459,4105,3857,4407,-1,4839,2275,-1,-1,3663,4522,3804,-1,4486,4960,-1,3519,4357,4868,4238,4172,4576,-1,-1,3171,-1,-1,3886,4534,3853,-1,4500,-1,-1,3655,4525,4933,4415,4595,4620,-1,-1,3495,-1,-1,4577,4634,3859,-1,4579,-1,-1,4467,4594,4958,4445,4950,4666,-1,-1,3586,-1,-1,4593,-1,3908,-1,4739,-1,-1,4688,4598,-1,4557,-1,-1,-1,-1,3939,-1,-1,4701,-1,4066,-1,4763,-1,-1,4909,4924,-1,4571,-1,-1,-1,-1,3946,-1,-1,4814,-1,4308,-1,4899,-1,-1,4979,-1,-1,4730
8,25,209,174,511,35,406,239,234,49,123,469,559,172,423,181,73,85,474,182,338,411,758,153,562,580,240,330,314,582,938,335,597,196,183,220,818,379,627,770,835,177,730,689,844,414,502,803,956,527,741,512,187,231,1276,564,680,2093,843,180,1211,1066,971,1777,587,1008,1098,596,787,907,244,953,1812,773,707,2129,1431,529,1406,1115,1726,1820,891,1352,1200,696,841,1162,815,1458,1924,959,792,2243,1898,780,1427,1149,2218,2124,1300,1546,1225,729,1122,1955,972,1684,2284,1145,1139,2470,1942,1531,1448,1175,2834,2551,1790,1757,1269,1060,2265,2071,1319,1872,2386,2062,1927,3000,2789,1533,1718,1391,2937,2891,2022,1971,1506,1401,2719,2440,1490,1904,2581,2126,2583,3624,3972,2268,2578,2198,3035,3843,2224,2084,2133,1419,2744,2466,1645,1997,2682,2945,2646,3990,4109,2283,2797,2235,3173,4451,2291,2733,2174,1421,2977,2889,3296,2803,2763,3418,2691,4194,4112,2297,3126,2864,3337,4845,2293,2878,2314,1557,3242,2913,3643,2876,2944,3486,2931,4440,4277,3015,3198,2932,3579,4992,2534,2883,2387,1832,3255,3053,4675,3314,2997,3715,3121,4484,4746,3668,3240,3112,3611,-1,2713,3335,2506,2381,3680,3283,4953,3322,3261,3999,3345,4616,-1,3909,3384,3383,3772,-1,2748,3443,3354,2515,3992,3300,4972,3330,3303,4728,3559,4734,-1,4000,3954,3875,4005,-1,3678,3569,3387,2522,4027,3553,-1,3339,3333,4813,3962,4749,-1,4270,4056,4848,4184,-1,3802,3747,3509,2712,4403,3583,-1,3806,3347,4918,4014,-1,-1,4681,4205,4889,4297,-1,3856,3789,3676,3228,4507,3695,-1,4375,3574,4987,4307,-1,-1,4806,4462,-1,-1,-1,3966,3938,4093,3289,4680,3739,-1,4515
