15,800
610,-1,224,566,660,206,289,193,565,90,259,374,659,241,580,160,598,632,33,389,101,111,230,737,425,-1,791,-1,757,773,371,195,395,337,134,321,705,-1,572,70,-1,634,768,490,587,25,554,648,298,627,756,-1,471,609,176,-1,198,513,169,-1,461,563,166,476
642,-1,75,706,51,263,296,77,312,423,799,753,-1,207,20,478,681,704,313,-1,183,590,24,410,696,320,434,273,394,790,269,487,120,47,201,734,485,246,305,-1,695,365,657,366,88,585,36,44,459,418,653,121,443,252,-1,19,560,85,161,318,306,28,712,-1
300,697,646,462,59,-1,798,785,-1,542,-1,141,301,498,591,370,467,441,0,380,506,438,-1,-1,512,687,251,761,454,361,255,703,522,549,679,146,726,579,731,-1,275,501,748,270,136,3,409,-1,-1,-1,38,430,-1,107,-1,424,584,35,722,758,342,118,381,677
644,674,346,151,-1,349,482,455,491,128,2,208,18,99,285,-1,-1,173,-1,-1,54,625,752,716,477,543,-1,-1,232,66,105,175,654,299,226,330,-1,-1,-1,231,157,776,-1,260,-1,-1,452,788,222,290,578,104,379,624,531,538,683,614,22,403,103,-1,759,62
203,519,497,84,422,-1,451,-1,711,-1,525,-1,789,127,-1,384,-1,57,562,336,100,238,235,551,291,763,61,797,457,390,55,360,645,-1,699,181,469,581,-1,783,-1,-1,240,784,152,-1,741,499,369,795,248,676,-1,-1,719,326,254,49,618,229,742,126,382,233
353,97,280,-1,727,244,-1,11,472,60,142,-1,-1,661,-1,526,541,433,41,214,-1,375,302,-1,211,-1,605,295,155,110,-1,340,377,92,702,314,316,-1,-1,715,-1,626,534,227,680,-1,747,-1,527,279,-1,568,-1,164,736,444,688,635,539,334,615,617,532,743
355,631,779,392,-1,-1,293,249,-1,138,675,397,311,145,123,751,156,247,698,796,729,658,450,720,754,416,495,237,-1,350,400,509,540,651,262,690,685,93,537,437,-1,286,682,769,-1,-1,793,483,-1,786,131,-1,288,383,535,630,445,762,570,780,184,-1,56,-1
177,489,728,636,500,331,672,623,552,213,608,335,427,114,502,-1,505,684,-1,-1,324,-1,333,-1,148,652,419,777,281,670,588,-1,440,102,643,179,261,234,458,-1,219,150,315,479,239,344,694,465,730,448,533,220,466,89,-1,-1,-1,98,484,594,80,37,557,782
-1,297,266,529,619,117,-1,106,29,95,74,71,159,341,481,367,-1,528,668,710,576,740,-1,317,794,412,692,449,435,-1,774,516,-1,221,278,446,9,553,325,236,154,-1,385,322,-1,-1,647,463,669,-1,772,744,-1,673,91,124,-1,-1,364,750,50,323,209,373
-1,558,86,96,415,-1,493,620,218,-1,15,520,577,167,555,770,343,574,168,119,191,376,-1,573,524,-1,-1,386,402,404,665,-1,-1,666,287,571,-1,406,431,171,664,597,178,464,686,172,94,48,707,640,294,46,546,272,58,352,589,475,486,582,202,242,368,-1
401,518,407,129,714,544,607,633,282,53,81,569,162,76,-1,304,52,439,447,32,725,656,733,764,-1,559,593,480,735,-1,413,-1,507,-1,488,165,30,-1,-1,775,327,292,-1,-1,283,194,274,-1,354,393,556,-1,-1,567,308,39,65,547,689,600,494,470,432,411
196,622,621,517,69,68,755,40,205,760,264,130,204,223,-1,649,-1,21,359,-1,663,548,163,10,245,210,503,-1,-1,456,87,13,-1,147,43,-1,7,641,-1,765,8,109,766,523,599,356,473,678,-1,351,23,717,140,530,199,42,732,225,132,125,26,453,442,-1
629,328,-1,307,749,492,638,662,192,428,414,116,284,771,602,189,521,-1,691,115,83,408,338,739,6,345,-1,-1,14,-1,592,-1,187,82,545,399,616,190,372,613,709,228,-1,-1,277,362,650,309,174,256,460,27,515,378,468,-1,182,67,693,347,550,63,12,257
-1,612,514,258,79,329,363,17,-1,-1,139,611,197,583,78,746,265,16,667,781,250,388,303,575,-1,-1,639,217,186,-1,143,606,-1,628,5,721,708,586,713,108,112,72,358,-1,188,701,387,4,144,348,778,421,122,510,243,700,153,185,-1,-1,417,319,34,398
601,603,496,767,267,655,180,474,64,596,253,-1,-1,718,268,-1,113,332,1,504,135,-1,73,133,396,276,508,-1,405,357,637,216,339,511,212,137,792,-1,724,787,723,310,436,200,604,738,561,536,420,215,671,564,271,31,149,45,745,170,-1,391,429,595,426,158
